City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Srandakan,ID,2022-10-20 20:33:46,-7.9386,110.2506,76.03,91,100,2.59
1,Waddan,LY,2022-10-20 20:33:47,29.1614,16.139,70.36,52,60,10.33
2,Avarua,CK,2022-10-20 20:33:47,-21.2078,-159.775,78.85,69,20,13.8
3,Kirakira,SB,2022-10-20 20:33:47,-10.4544,161.9205,82.27,80,80,7.78
4,Port Alfred,ZA,2022-10-20 20:33:48,-33.5906,26.891,62.19,94,86,1.01
5,Rikitea,PF,2022-10-20 20:33:48,-23.1203,-134.9692,70.72,75,95,23.04
6,Lavrentiya,RU,2022-10-20 20:33:48,65.5833,-171.0,34.83,99,100,8.39
7,Bahia Honda,CU,2022-10-20 20:33:48,22.9036,-83.1592,74.35,66,86,10.36
8,Tuatapere,NZ,2022-10-20 20:33:49,-46.1333,167.6833,47.44,54,97,6.17
9,Yulara,AU,2022-10-20 20:33:49,-25.2406,130.9889,67.03,42,0,4.38
10,Barrow,US,2022-10-20 20:31:13,71.2906,-156.7887,26.62,93,100,20.71
11,Zhelyabovka,UA,2022-10-20 20:33:49,45.3988,34.7578,42.06,64,10,14.25
12,Port Elizabeth,ZA,2022-10-20 20:31:19,-33.918,25.5701,60.1,83,20,5.86
13,Charagua,BO,2022-10-20 20:33:50,-19.8,-63.2167,71.17,78,90,6.15
14,Albany,US,2022-10-20 20:33:26,42.6001,-73.9662,55.92,44,31,9.04
15,Hermanus,ZA,2022-10-20 20:33:48,-34.4187,19.2345,57.88,79,98,9.91
16,Matagami,CA,2022-10-20 20:33:50,49.7502,-77.6328,37.51,87,100,11.5
17,Bredasdorp,ZA,2022-10-20 20:33:50,-34.5322,20.0403,56.14,83,95,4.9
18,Mount Gambier,AU,2022-10-20 20:33:51,-37.8333,140.7667,58.28,76,98,3.0
19,Wenling,CN,2022-10-20 20:33:51,28.3669,121.36,63.82,68,92,5.68
20,Muromtsevo,RU,2022-10-20 20:33:51,56.3724,75.2418,41.02,88,97,7.61
21,Cavalcante,BR,2022-10-20 20:33:52,-13.7975,-47.4583,87.57,22,60,3.42
22,Christchurch,NZ,2022-10-20 20:30:24,-43.5333,172.6333,52.92,47,100,12.66
23,Tongzi,CN,2022-10-20 20:33:52,28.7829,105.0877,66.29,61,54,3.09
24,Vaini,TO,2022-10-20 20:33:52,-21.2,-175.2,71.76,100,100,12.66
25,Ushuaia,AR,2022-10-20 20:33:53,-54.8,-68.3,46.02,65,75,26.46
26,Bambous Virieux,MU,2022-10-20 20:29:50,-20.3428,57.7575,72.21,83,75,10.36
27,Qaanaaq,GL,2022-10-20 20:33:53,77.484,-69.3632,1.45,66,10,12.68
28,Evensk,RU,2022-10-20 20:33:54,61.95,159.2333,12.4,73,71,8.75
29,Beyneu,KZ,2022-10-20 20:33:55,45.3167,55.2,59.86,51,4,6.2
30,Pokhvistnevo,RU,2022-10-20 20:33:55,53.6524,52.1274,41.14,82,99,6.29
31,Hasaki,JP,2022-10-20 20:33:55,35.7333,140.8333,55.29,58,0,6.53
32,Knysna,ZA,2022-10-20 20:33:55,-34.0363,23.0471,59.32,81,66,3.18
33,Inirida,CO,2022-10-20 20:33:56,3.8653,-67.9239,76.91,95,100,2.15
34,Carnarvon,AU,2022-10-20 20:33:56,-24.8667,113.6333,64.02,81,6,11.01
35,Saint-Philippe,RE,2022-10-20 20:33:56,-21.3585,55.7679,69.39,78,37,10.56
36,Oriximina,BR,2022-10-20 20:33:56,-1.7656,-55.8661,86.54,61,100,2.01
37,Mar Del Plata,AR,2022-10-20 20:29:59,-38.0023,-57.5575,68.02,88,0,16.11
38,Naze,JP,2022-10-20 20:33:57,28.3667,129.4833,76.12,76,99,17.02
39,Busselton,AU,2022-10-20 20:31:20,-33.65,115.3333,54.41,84,40,4.65
40,Leningradskiy,RU,2022-10-20 20:29:48,69.3833,178.4167,26.2,98,100,5.91
41,Cidreira,BR,2022-10-20 20:33:57,-30.1811,-50.2056,67.17,93,100,13.15
42,Anadyr,RU,2022-10-20 20:33:58,64.75,177.4833,34.3,93,40,6.71
43,East London,ZA,2022-10-20 20:33:58,-33.0153,27.9116,68.34,75,100,7.94
44,Netivot,IL,2022-10-20 20:33:58,31.4222,34.5886,71.6,70,100,4.9
45,Nunoa,PE,2022-10-20 20:33:58,-14.48,-70.6411,62.19,19,88,10.38
46,Kavaratti,IN,2022-10-20 20:33:59,10.5669,72.642,80.6,78,57,8.23
47,Kapaa,US,2022-10-20 20:33:59,22.0752,-159.319,80.58,77,100,13.8
48,Castro,BR,2022-10-20 20:30:13,-24.7911,-50.0119,62.08,92,100,5.86
49,Iquitos,PE,2022-10-20 20:34:00,-3.7481,-73.2472,84.24,74,75,6.91
50,Palu,ID,2022-10-20 20:34:01,-0.8917,119.8707,75.42,91,99,3.42
51,Lorengau,PG,2022-10-20 20:34:01,-2.0226,147.2712,82.17,73,78,3.85
52,Dicamay,PH,2022-10-20 20:34:01,16.7561,122.0037,72.81,100,100,2.08
53,Alugan,PH,2022-10-20 20:34:02,12.2188,125.4808,80.31,83,73,6.06
54,Dikson,RU,2022-10-20 20:33:11,73.5069,80.5464,32.31,98,100,14.92
55,Puerto Ayora,EC,2022-10-20 20:34:02,-0.7393,-90.3518,76.96,83,89,7.0
